iter	Passed	Remaining
0	29	4412
1	61	4550
2	104	5109
3	136	4986
4	168	4891
5	202	4850
6	231	4736
7	267	4754
8	298	4673
9	329	4617
10	358	4525
11	390	4490
12	419	4416
13	447	4349
14	478	4305
15	506	4238
16	531	4157
17	555	4074
18	576	3977
19	598	3891
20	620	3813
21	641	3730
22	659	3643
23	687	3609
24	707	3538
25	727	3468
26	748	3411
27	767	3343
28	788	3289
29	809	3239
30	826	3173
31	846	3119
32	861	3053
33	878	2997
34	896	2944
35	915	2897
36	930	2842
37	945	2787
38	964	2746
39	986	2713
40	1007	2679
41	1028	2643
42	1046	2603
43	1070	2579
44	1088	2540
45	1105	2499
46	1123	2463
47	1140	2422
48	1158	2387
49	1179	2359
50	1199	2327
51	1216	2292
52	1236	2262
53	1254	2229
54	1276	2205
55	1296	2176
56	1317	2149
57	1335	2117
58	1354	2088
59	1372	2058
60	1393	2033
61	1411	2003
62	1428	1973
63	1446	1944
64	1468	1920
65	1484	1889
66	1501	1860
67	1521	1834
68	1539	1806
69	1558	1781
70	1575	1753
71	1592	1724
72	1609	1697
73	1630	1675
74	1647	1647
75	1665	1621
76	1684	1596
77	1704	1573
78	1724	1549
79	1740	1523
80	1758	1497
81	1777	1473
82	1797	1450
83	1813	1425
84	1833	1402
85	1851	1377
86	1869	1353
87	1886	1328
88	1905	1306
89	1921	1281
90	1939	1257
91	1957	1233
92	1975	1210
93	1994	1188
94	2010	1164
95	2030	1142
96	2046	1118
97	2066	1096
98	2082	1072
99	2101	1050
100	2120	1028
101	2138	1006
102	2161	986
103	2180	964
104	2201	943
105	2220	921
106	2241	900
107	2260	879
108	2279	857
109	2301	836
110	2321	815
111	2346	796
112	2370	776
113	2392	755
114	2411	733
115	2430	712
116	2451	691
117	2470	669
118	2487	648
119	2506	626
120	2526	605
121	2546	584
122	2571	564
123	2590	543
124	2612	522
125	2630	501
126	2651	480
127	2670	458
128	2694	438
129	2713	417
130	2731	396
131	2749	374
132	2769	353
133	2788	332
134	2806	311
135	2826	290
136	2850	270
137	2872	249
138	2898	229
139	2920	208
140	2940	187
141	2961	166
142	2983	146
143	3002	125
144	3026	104
145	3048	83
146	3070	62
147	3096	41
148	3118	20
149	3140	0
