Coffee Name,Caffeine Level,Sweetness,Type,Roast Level,Milk Type,Flavor Notes,Bitterness Level,Weather
Iced Cappuccino,High,High,Iced,None,None,Nutty,Low,Hot
Iced Cappuccino,Medium,High,Iced,Dark,Dairy,Creamy,Low,Hot
Iced Cappuccino,High,High,Iced,None,None,Nutty,Low,Hot
Classic Roast,Medium,High,Hot,Dark,No Dairy,Coffee,Medium,Cold
Iced Cappuccino,Medium,High,Iced,Medium,None,Bitter,Medium,Hot
Handcrafted Milk Chocolate,Medium,Low,Hot,Medium,None,Coffee,Medium,Cold
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Dark Roast,Medium,Low,Hot,Dark,No Dairy,Earthy,High,Cold
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Hot
Iced Coffee,Low,High,Iced,Medium,Dairy,Sweet,High,Cold
Iced Handcrafted Milk Chocolate,Medium,Medium,Iced,Medium,None,Caramel,High,Hot
Iced Handcrafted Milk Chocolate,Medium,Low,Iced,None,Dairy,Creamy,Low,Hot
Iced Cappuccino,Medium,High,Iced,Dark,Dairy,Creamy,Low,Hot
Iced Cappuccino,Medium,High,Iced,Medium,Dairy,Nutty,Low,Hot
Triple Coffee Jelly,Medium,Medium,Iced,Medium,None,Espresso,High,Cold
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Medium,Hot
Latte,Low,Medium,Hot,None,Dairy,Nutty,Medium,Cold
Cafe Americano,Low,High,Hot,Medium,None,Coffee,Medium,Hot
Cafe Americano,High,Low,Hot,Medium,None,Vanilla,Low,Cold
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Iced French Vanilla,High,Low,Iced,None,Dairy,Bitter,Medium,Hot
Dark Roast,Medium,Low,Hot,Dark,No Dairy,Earthy,High,Cold
Dark Roast,Medium,Low,Hot,Dark,No Dairy,Earthy,High,Cold
French Vanilla Cold Brew,Low,High,Iced,None,Dairy,Vanilla,Low,Hot
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Hot
Triple Coffee Jelly,High,Low,Iced,Medium,None,Nutty,Low,Hot
Iced Cappuccino,High,High,Iced,None,None,Nutty,Low,Hot
Iced French Vanilla,High,Low,Iced,None,Dairy,Bitter,Medium,Hot
Dark Roast,Medium,Low,Hot,Dark,No Dairy,Earthy,High,Cold
Cafe Americano,Low,High,Hot,Medium,None,Coffee,Medium,Hot
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Triple Coffee Jelly,High,High,Iced,Medium,None,Chocolate,Medium,Hot
Triple Coffee Jelly,High,Low,Iced,Medium,None,Nutty,Low,Hot
Iced Latte,Medium,Medium,Iced,Dark,Dairy,Creamy,Medium,Cold
Frozen Hot Chocolate,Low,High,Frozen,None,Dairy,Chocolate,Low,Hot
French Vanilla Cold Brew,High,High,Iced,Medium,None,Chocolate,Medium,Cold
Dark Roast,Medium,Low,Hot,Dark,No Dairy,Earthy,High,Cold
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Iced French Vanilla,High,Low,Iced,None,Dairy,Bitter,Medium,Hot
French Vanilla,High,Medium,Hot,Medium,Dairy,Nutty,Low,Cold
Café Mocha,Medium,High,Hot,Medium,Dairy,Vanilla,High,Cold
Iced French Vanilla,High,Low,Iced,None,Dairy,Bitter,Medium,Hot
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
Iced Cappuccino,High,High,Iced,None,None,Nutty,Low,Hot
Latte,Low,Low,Hot,Medium,None,Coffee,High,Hot
